GAB;Gabon;;;;;;;;;;;;;x;;;;
GAB_ADJ;Gabonese;;;;;;;;;;;;;x;;;;
GAB_social_democrat;Democratic Socialists of Gabon;;;;;;;;;;;;;x;;;;
GAB_socialist;Socialist Party of Gabon;;;;;;;;;;;;;x;;;;
GAB_communist;Gabon Revolutionary Party;;;;;;;;;;;;;x;;;;
GAB_liberal;Gabon Democratic Party;;;;;;;;;;;;;x;;;;
GAB_anarcho_liberal;Gabon Libertarian Party;;;;;;;;;;;;;x;;;;
GAB_green;Gabon Green Party;;;;;;;;;;;;;x;;;;
GAB_conservative;Gabon Republican Party;;;;;;;;;;;;;x;;;;
GAB_nationalist;Gabon Party;;;;;;;;;;;;;x;;;;
GAB_traditionalist;Gabon Constitution Party;;;;;;;;;;;;;x;;;;
GAB_ultranationalist;Gabon Ultranationalist;;;;;;;;;;;;;x;;;;
