CHV;Chuvashia;;;;;;;;;;;;;x;;;;
CHV_ADJ;Chuvashia;;;;;;;;;;;;;x;;;;
CHV_social_democrat;Democratic Socialists of Chuvashia;;;;;;;;;;;;;x;;;;
CHV_socialist;Socialist Party of Chuvashia;;;;;;;;;;;;;x;;;;
CHV_communist;Chuvashia Revolutionary Party;;;;;;;;;;;;;x;;;;
CHV_liberal;Chuvashia Democratic Party;;;;;;;;;;;;;x;;;;
CHV_anarcho_liberal;Chuvashia Libertarian Party;;;;;;;;;;;;;x;;;;
CHV_green;Chuvashia Green Party;;;;;;;;;;;;;x;;;;
CHV_conservative;Chuvashia Republican Party;;;;;;;;;;;;;x;;;;
CHV_nationalist;Chuvashia Party;;;;;;;;;;;;;x;;;;
CHV_traditionalist;Chuvashia Constitution Party;;;;;;;;;;;;;x;;;;
CHV_ultranationalist;Chuvashia Ultranationalist;;;;;;;;;;;;;x;;;;
