TAL;Talysh;;;;;;;;;;;;;x;;;;
TAL_ADJ;Talysh;;;;;;;;;;;;x;;;;
TAL_social_democrat;Social Democratic Party of Talysh;;;;;;;;;;;;;x;;;;
TAL_socialist;Talysh Independence Party;;;;;;;;;;;;;x;;;;
TAL_communist;Talysh Revolutionary Party;;;;;;;;;;;;;x;;;;
TAL_liberal;Talysh Democratic Party;;;;;;;;;;;;;x;;;;
TAL_anarcho_liberal;Talysh Libertarian Party;;;;;;;;;;;;;x;;;;
TAL_green;Talysh Green Party;;;;;;;;;;;;;x;;;;
TAL_conservative;Talysh Conservative Party;;;;;;;;;;;;;x;;;;
TAL_nationalist;Talysh Party;;;;;;;;;;;;;x;;;;
TAL_traditionalist;Talysh Constitution Party;;;;;;;;;;;;;x;;;;
TAL_ultranationalist;Talysh Ultranationalist;;;;;;;;;;;;;x;;;;
