LOADING_MAP_SPRITES;c:\games\victopia\map_spr.bmp;;;;;;;;;;;;x;;;;
LOADING_GUI_DEF;c:\games\victopia\gui_def.dll;;;;;;;;;;;;x;;;;
LOADING_DATABASES;c:\games\victopia\vic_db1.db;;;;;;;;;;;;x;;;;
LOADING_DATABASES2;c:\games\victopia\vic_db2.db;;;;;;;;;;;;x;;;;
INIT_MAP_LOGIC;c:\games\victopia\maplogic.dll;;;;;;;;;;;;x;;;;
CREATING_CHKSUM;c:\games\victopia\chksum.dll;;;;;;;;;;;;x;;;;
LOADING_HISTORY;c:\games\victopia\history.txt;;;;;;;;;;;;x;;;;
LOADING_SOUNDS;c:\games\victopia\audio.wav;;;;;;;;;;;;x;;;;
PROC_FLAGS;c:\games\victopia\flags1.bmp;;;;;;;;;;;;x;;;;
LOAD_FLAGS;c:\games\victopia\flags2.bmp;;;;;;;;;;;;x;;;;
LOAD_GFX;c:\games\victopia\gfx.bmp;;;;;;;;;;;;x;;;;
CREATING_THE_WORLD;c:\games\victopia\world.wad;;;;;;;;;;;;x;;;;
CREATING_TREES;c:\games\victopia\trees.bat;;;;;;;;;;;;x;;;;
CREATING_BORDERS;c:\games\victopia\borders.bat;;;;;;;;;;;;x;;;;
CREATING_RIVERS;c:\games\victopia\rivers.exe;;;;;;;;;;;;x;;;;
MAP_PROPERLY_INIT;c:\games\victopia\victopia.exe;;;;;;;;;;;;x;;;;
CREATING_PROVINCE;c:\games\victopia\province.dll;;;;;;;;;;;;x;;;;
CREATING_TEXTS;c:\games\victopia\loc.txt;;;;;;;;;;;;x;;;;
LOAD_EVENTS;c:\games\victopia\events.txt;;;;;;;;;;;;x;;;;
ADAPTING_HISTORY;c:\games\victopia\history.txt;;;;;;;;;;;;x;;;;
CALC_PATHS;c:\games\victopia\paths.dll;;;;;;;;;;;;x;;;;
FE_TOGGLE;c:\games\victopia\victopia.exe /q;;;;;;;;;;;;x;;;;
FE_TOGGLE_NORMAL;c:\games\victopia\victopia.exe /c;;;;;;;;;;;;x;;;;
EXECUTING_HISTORY;c:\games\victopia\history.txt;;;;;;;;;;x;;;;
