ILO;Ilocos;;;;;;;;;;;;;x;;;;
ILO_ADJ;Ilocos;;;;;;;;;;;;;x;;;;
ILO_social_democrat;Democratic Socialists of Ilocos;;;;;;;;;;;;;x;;;;
ILO_socialist;Socialist Party of Ilocos;;;;;;;;;;;;;x;;;;
ILO_communist;Ilocos Revolutionary Party;;;;;;;;;;;;;x;;;;
ILO_liberal;Ilocos Democratic Party;;;;;;;;;;;;;x;;;;
ILO_anarcho_liberal;Ilocos Libertarian Party;;;;;;;;;;;;;x;;;;
ILO_green;Ilocos Green Party;;;;;;;;;;;;;x;;;;
ILO_conservative;Ilocos Republican Party;;;;;;;;;;;;;x;;;;
ILO_nationalist;Ilocos Party;;;;;;;;;;;;;x;;;;
ILO_traditionalist;Ilocos Constitution Party;;;;;;;;;;;;;x;;;;
ILO_ultranationalist;Ilocos Ultranationalist;;;;;;;;;;;;;x;;;;
