NSR;New Songhai Republic;;;;;;;;;;;;;x;;;;
NSR_ADJ;New Songhain;;;;;;;;;;;;x;;;;
NSR_social_democrat;Democratic Socialists of New Songhai;;;;;;;;;;;;;x;;;;
NSR_socialist;African Independence Party;;;;;;;;;;;;;x;;;;
NSR_communist;New Songhai Revolutionary Party;;;;;;;;;;;;;x;;;;
NSR_liberal;New Songhai Democratic Party;;;;;;;;;;;;;x;;;;
NSR_anarcho_liberal;New Songhai Libertarian Party;;;;;;;;;;;;;x;;;;
NSR_green;New Songhai Green Party;;;;;;;;;;;;;x;;;;
NSR_conservative;New Songhai Republican Party;;;;;;;;;;;;;x;;;;
NSR_nationalist;New Songhai Party;;;;;;;;;;;;;x;;;;
NSR_traditionalist;New Songhai Constitution Party;;;;;;;;;;;;;x;;;;
NSR_ultranationalist;New Songhai Ultranationalist;;;;;;;;;;;;;x;;;;
