USA_2;Alaska;;;;;;;;;;;;;x;;;;
ENG_6;Yukon;;;;;;;;;;;;;x;;;;
ENG_11;Northwest Territories;;;;;;;;;;;;;x;;;;
ENG_45;Nunavut;;;;;;;;;;;;;x;;;;
ENG_46;Southern Ontario;;;;;;;;;;;;;x;;;;
ENG_47;Northern Ontario;;;;;;;;;;;;;x;;;;
ENG_58;Southern Quebec;;;;;;;;;;;;;x;;;;
ENG_59;Northern Quebec;;;;;;;;;;;;;x;;;;
MEX_84;Northern California;;;;;;;;;;;;;x;;;;
MEX_89;Southern California;;;;;;;;;;;;;x;;;;
MEX_94;Nevada;;;;;;;;;;;;;x;;;;
MEX_96;Utah;;;;;;;;;;;;;x;;;;
USA_205;South Carolina;;;;;;;;;;;;;x;;;;
TEX_132;North Texas;;;;;;;;;;;;;x;;;;
TEX_137;South Texas;;;;;;;;;;;;;x;;;;
USA_232;Greater New York City;;;;;;;;;;;;;x;;;;
USA_234;Upstate New York;;;;;;;;;;;;;x;;;;
DEN_252;Iceland;;;;;;;;;;;;;x;;;;
DEN_253;Nordic Islands;;;;;;;;;;;;;x;;;;
RUS_986;Nenets;;;;;;;;;;;;;x;;;;
RUS_995;Karelia;;;;;;;;;;;;;x;;;;
MEX_2137;Sonora;;;;;;;;;;;;;x;;;;
MEX_2139;Baja California;;;;;;;;;;;;;x;;;;
MEX_2146;Nuevo Leon-Tamaulipas;;;;;;;;;;;;;x;;;;
MEX_2151;Coahuila;;;;;;;;;;;;;x;;;;
MEX_2153;Durango;;;;;;;;;;;;;x;;;;
MEX_2157;Sinaloa;;;;;;;;;;;;;x;;;;
MEX_2158;Zacatecas;;;;;;;;;;;;;x;;;;
MEX_2159;San Luis Potosi;;;;;;;;;;;;;x;;;;
MEX_2162;Veracruz;;;;;;;;;;;;;x;;;;
MEX_2167;Guanajuato;;;;;;;;;;;;;x;;;;
MEX_2170;Michoacan;;;;;;;;;;;;;x;;;;
MEX_2172;Greater Mexico City;;;;;;;;;;;;;x;;;;
MEX_2174;State of Mexico;;;;;;;;;;;;;x;;;;
MEX_2176;Puebla;;;;;;;;;;;;;x;;;;
MEX_2177;Oaxaca;;;;;;;;;;;;;x;;;;
MEX_2180;Guerrero;;;;;;;;;;;;;x;;;;
MEX_2181;Tabasco-Chiapas;;;;;;;;;;;;;x;;;;
ENG_2217;Western Caribbean;;;;;;;;;;;;;x;;;;
ENG_2219;Bahamian Islands;;;;;;;;;;;;;x;;;;
ENG_2222;Puerto Rico;;;;;;;;;;;;;x;;;;
ENG_2230;Leeward Islands;;;;;;;;;;;;;x;;;;
VNZ_2234;Leeward Antilles;;;;;;;;;;;;;x;;;;
ENG_2237;Windward Islands;;;;;;;;;;;;;x;;;;
VNZ_2270;Zulia;;;;;;;;;;;;;x;;;;
RUS_2587;Murmansk;;;;;;;;;;;;;x;;;;
DEN_2591;Greenland;;;;;;;;;;;;;x;;;;
FRA_1798;Eastern Soudan;Soudan orientale;Ost-Soudan;;Eastern Soudan;;;;;;;;;
FRA_1801;Western Soudan;Soudan ouest;West-Soudan;;Western Soudan;;;;;;;;;
CHI_1493;Pearl River Delta;;;;;;;;;;;;;x;;;;
